Sample ID,Weight (mg),N2 Amp,%N,AT% 15N/14N,?15N vs. At. Air,CO2 Amp,%C,?13C vs. VPDB,AT% 13C/12C
Curt1E_010,39.434,0,,,,63,0.03,-24.16,1.07921
Curt1E_010 + CHCl3,41.802,453,0.04,0.3721,15.88,795,0.39,17.61,1.12489
Curt2A_010,39.1825,0,,,,0,,,
Curt2A_010 + CHCl3,41.519,492,0.04,0.3841,48.77,713,0.35,16.48,1.12365
Curt2B_010,40.478,0,,,,55,0.03,7.07,1.11337
Curt2B_010 + CHCl3,39.3475,129,0.01,0.42633,164.57,339,0.17,51.25,1.16164
Curt2C_010,41.876,76,0.01,0.45492,243.04,72,0.03,-23.71,1.07971
Curt2C_010 + CHCl3,41.1955,371,0.03,0.38803,59.54,337,0.16,7.7,1.11406
Curt2D_010,41.3215,0,,,,0,,,
Curt2D_010 + CHCl3,40.678,547,0.05,0.38349,47.09,852,0.42,11.15,1.11783
Curt2E_010,41.945,0,,,,62,0.03,-24.54,1.0788
Curt2E_010 + CHCl3,40.4775,467,0.04,0.38302,45.8,714,0.36,12.31,1.1191
Curt3D_010_ct,39.338,0,,,,61,0.03,-23.57,1.07986
Blank_01 C,38.725,0,,,,0,,,
Curt1D_010_ct + CHCl3,41.567,139,0.01,0.41694,138.82,175,0.09,-17.65,1.08633
BLANK1,0,0,,,,0,,,
BLANK2,0,0,,,,0,,,
BLANK3,0,0,,,,0,,,
