Sample ID,Weight (mg),N2 Amp,%N,AT% 15N/14N,?15N vs. At. Air,CO2 Amp,%C,?13C vs. VPDB,AT% 13C/12C
0607O_12CP_CHCl,19.0995,349,0.05,0.36650,0.54,473,0.37,-25.38,1.07789
0607O_13CP_nofum,20.384,263,0.04,0.36797,4.56,"1,316",0.98,-17.59,1.08641
0811O_12CP_nofum,19.0445,175,0.03,0.36900,7.38,402,0.32,-22.80,1.08071
0115O_13CP_CHCl,19.8625,316,0.05,0.36844,5.85,627,0.48,-21.92,1.08166
0308O_13CP_nofum,20.202,298,0.04,0.37142,14.01,165,0.12,-20.19,1.08355
Blank_CHCl,19.9575,0,,,,0,,,
0218O_13CP_nofum,20.1005,97,0.02,0.36926,8.11,296,0.22,-25.97,1.07724
0416O_13CP_CHCl,19.38,494,0.07,0.36684,1.46,842,0.65,-23.06,1.08042
0316O_13CP_CHCl,20.667,316,0.05,0.36760,3.55,476,0.35,-21.95,1.08163
0218O_13CP_CHCl,20.0935,354,0.05,0.36777,4.01,728,0.55,-24.18,1.07919
0916O_13CP_CHCl,20.1055,686,0.10,0.37006,10.30,537,0.41,-20.46,1.08326
0218O_12CP_CHCl,20.4445,355,0.05,0.36759,3.53,805,0.60,-26.76,1.07637
0706O_12CP_nofum,20.5,361,0.05,0.36829,5.45,249,0.18,-19.51,1.08430
0316O_12CP_nofum,20.3755,77,0.01,0.36714,2.30,238,0.18,-26.42,1.07675
0304O_13CP_CHCl,20.37,162,0.03,0.36699,1.87,368,0.27,-18.48,1.08543
BLank_nofum,20.0575,0,,,,0,,,
Blank_CHCl,19.9575,0,,,,0,,,
blank_tin,0,0,,,,0,,,
blank_tin,0,0,,,,0,,,
blank_tin,0,0,,,,0,,,
blank_tin,0,0,,,,0,,,
0607O_13CP_nofum_dup,19.974,266,0.04,0.36793,4.46,"1,327",1.02,-17.82,1.08615
1213O_13CP_nofum_dup,19.71,544,0.08,0.37001,10.15,328,0.25,-21.36,1.08228
0811M_12CP_CHCl,40.3065,180,0.01,0.36982,9.65,338,0.13,-25.58,1.07767
0316M_13CP_nofum,39.8405,111,0.01,0.36569,-1.68,121,0.05,-3.12,1.10223
0512M_13CP_nofum,39.332,165,0.01,0.36397,-6.39,180,0.07,-18.13,1.08581
0202M_13CP_nofum,40.0725,52,0.00,0.37090,12.59,170,0.07,-2.78,1.10260
0508M_13CP_nofum,40.7965,227,0.02,0.36592,-1.05,277,0.10,0.27,1.10594
0912M_12CP_CHCl,39.5235,"1,062",0.08,0.37151,14.26,307,0.12,-24.33,1.07903
0811M_12CP_nofum,39.841,0,,,,124,0.05,-25.70,1.07753
Blank_CHCl,19.9575,0,,,,0,,,
0103M_13CP_CHCl,40.917,367,0.03,0.37084,12.43,445,0.17,6.05,1.11225
